i1,j1,i2,j2,r,g,b
1,528,15,514,120,120,120
1,528,35,514,120,120,120
1,528,31,504,120,120,120
2,440,35,447,163,163,163
2,440,44,432,163,163,163
2,440,49,435,163,163,163
15,514,31,504,126,126,126
15,514,1,528,126,126,126
15,514,35,514,126,126,126
31,504,35,514,131,131,131
31,504,46,513,131,131,131
31,504,15,514,131,131,131
35,447,44,432,155,155,155
35,447,49,435,155,155,155
35,447,58,434,155,155,155
35,514,31,504,126,126,126
35,514,46,513,126,126,126
35,514,15,514,126,126,126
42,366,56,361,174,174,174
42,366,64,362,174,174,174
42,366,66,353,174,174,174
44,432,49,435,159,159,159
44,432,58,434,159,159,159
44,432,35,447,159,159,159
46,513,35,514,121,121,121
46,513,31,504,121,121,121
46,513,65,525,121,121,121
49,435,44,432,157,157,157
49,435,58,434,157,157,157
49,435,35,447,157,157,157
54,337,55,340,8,8,8
54,337,57,331,8,8,8
54,337,59,342,8,8,8
55,340,54,337,4,4,4
55,340,59,342,4,4,4
55,340,57,331,4,4,4
56,361,64,362,14,14,14
56,361,66,353,14,14,14
56,361,65,351,14,14,14
57,331,61,327,3,3,3
57,331,54,337,3,3,3
57,331,55,340,3,3,3
58,318,61,327,3,3,3
58,318,57,331,3,3,3
58,318,67,328,3,3,3
58,434,49,435,154,154,154
58,434,44,432,154,154,154
58,434,35,447,154,154,154
59,342,55,340,3,3,3
59,342,54,337,3,3,3
59,342,65,337,3,3,3
61,327,57,331,3,3,3
61,327,67,328,3,3,3
61,327,58,318,3,3,3
64,362,56,361,4,4,4
64,362,66,353,4,4,4
64,362,69,370,4,4,4
65,337,70,341,3,3,3
65,337,71,341,3,3,3
65,337,59,342,3,3,3
65,351,66,353,3,3,3
65,351,67,353,3,3,3
65,351,71,351,3,3,3
65,403,94,408,162,162,162
65,403,94,412,162,162,162
65,403,58,434,162,162,162
65,525,76,533,115,115,115
65,525,46,513,115,115,115
65,525,90,534,115,115,115
66,353,67,353,3,3,3
66,353,65,351,3,3,3
66,353,71,351,3,3,3
67,328,61,327,3,3,3
67,328,65,337,3,3,3
67,328,77,326,3,3,3
67,353,66,353,3,3,3
67,353,65,351,3,3,3
67,353,71,351,3,3,3
69,370,73,371,24,24,24
69,370,77,367,24,24,24
69,370,64,362,24,24,24
70,294,84,309,9,9,9
70,294,85,310,9,9,9
70,294,77,318,9,9,9
70,341,71,341,3,3,3
70,341,65,337,3,3,3
70,341,77,341,3,3,3
71,341,70,341,3,3,3
71,341,77,341,3,3,3
71,341,65,337,3,3,3
71,351,67,353,3,3,3
71,351,66,353,3,3,3
71,351,65,351,3,3,3
71,493,85,486,127,127,127
71,493,46,513,127,127,127
71,493,65,525,127,127,127
73,371,69,370,12,12,12
73,371,77,367,12,12,12
73,371,83,373,12,12,12
76,533,65,525,108,108,108
76,533,90,534,108,108,108
76,533,46,513,108,108,108
77,318,80,320,3,3,3
77,318,77,326,3,3,3
77,318,86,324,3,3,3
77,326,80,330,3,3,3
77,326,80,320,3,3,3
77,326,77,318,3,3,3
77,334,80,330,3,3,3
77,334,77,341,3,3,3
77,334,77,326,3,3,3
77,341,71,341,3,3,3
77,341,70,341,3,3,3
77,341,77,334,3,3,3
77,349,71,351,3,3,3
77,349,77,341,3,3,3
77,349,71,341,3,3,3
77,367,73,371,7,7,7
77,367,83,373,7,7,7
77,367,69,370,7,7,7
80,320,77,318,3,3,3
80,320,77,326,3,3,3
80,320,86,324,3,3,3
80,330,77,326,3,3,3
80,330,77,334,3,3,3
80,330,86,324,3,3,3
83,373,85,371,6,6,6
83,373,91,371,6,6,6
83,373,77,367,6,6,6
84,309,85,310,5,5,5
84,309,93,308,5,5,5
84,309,90,317,5,5,5
85,310,84,309,5,5,5
85,310,93,308,5,5,5
85,310,90,317,5,5,5
85,371,83,373,5,5,5
85,371,91,371,5,5,5
85,371,89,364,5,5,5
85,486,71,493,127,127,127
85,486,97,472,127,127,127
85,486,95,464,127,127,127
86,324,80,320,3,3,3
86,324,91,330,3,3,3
86,324,90,317,3,3,3
86,354,86,356,4,4,4
86,354,88,361,4,4,4
86,354,91,348,4,4,4
86,356,86,354,4,4,4
86,356,88,361,4,4,4
86,356,91,361,4,4,4
88,361,91,361,4,4,4
88,361,89,364,4,4,4
88,361,86,356,4,4,4
89,345,91,348,3,3,3
89,345,86,354,3,3,3
89,345,98,351,3,3,3
89,364,88,361,4,4,4
89,364,91,361,4,4,4
89,364,91,371,4,4,4
90,317,86,324,3,3,3
90,317,85,310,3,3,3
90,317,93,308,3,3,3
90,534,76,533,106,106,106
90,534,65,525,106,106,106
90,534,125,535,106,106,106
91,330,86,324,3,3,3
91,330,99,326,3,3,3
91,330,101,333,3,3,3
91,348,89,345,3,3,3
91,348,98,351,3,3,3
91,348,86,354,3,3,3
91,361,88,361,4,4,4
91,361,89,364,4,4,4
91,361,86,356,4,4,4
91,371,95,371,5,5,5
91,371,85,371,5,5,5
91,371,89,364,5,5,5
93,308,85,310,6,6,6
93,308,84,309,6,6,6
93,308,90,317,6,6,6
93,381,94,387,5,5,5
93,381,96,387,5,5,5
93,381,101,375,5,5,5
94,387,96,387,13,13,13
94,387,93,381,13,13,13
94,387,103,386,13,13,13
94,408,94,412,5,5,5
94,408,101,405,5,5,5
94,408,95,416,5,5,5
94,412,94,408,9,9,9
94,412,95,416,9,9,9
94,412,101,405,9,9,9
95,371,91,371,5,5,5
95,371,101,375,5,5,5
95,371,103,371,5,5,5
95,416,94,412,5,5,5
95,416,94,408,5,5,5
95,416,106,415,5,5,5
95,464,97,472,130,130,130
95,464,104,453,130,130,130
95,464,108,457,130,130,130
96,387,94,387,9,9,9
96,387,93,381,9,9,9
96,387,103,386,9,9,9
97,472,95,464,126,126,126
97,472,111,465,126,126,126
97,472,85,486,126,126,126
98,351,103,351,3,3,3
98,351,104,350,3,3,3
98,351,91,348,3,3,3
99,326,106,326,3,3,3
99,326,101,333,3,3,3
99,326,91,330,3,3,3
100,441,107,441,23,23,23
100,441,107,435,23,23,23
100,441,104,453,23,23,23
101,333,107,331,3,3,3
101,333,99,326,3,3,3
101,333,106,326,3,3,3
101,375,103,371,6,6,6
101,375,95,371,6,6,6
101,375,107,368,6,6,6
101,405,94,408,13,13,13
101,405,94,412,13,13,13
101,405,108,413,13,13,13
102,362,102,365,4,4,4
102,362,107,368,4,4,4
102,362,103,371,4,4,4
102,365,102,362,4,4,4
102,365,107,368,4,4,4
102,365,103,371,4,4,4
103,291,106,300,7,7,7
103,291,108,306,7,7,7
103,291,119,295,7,7,7
103,311,107,309,4,4,4
103,311,108,306,4,4,4
103,311,93,308,4,4,4
103,351,104,350,3,3,3
103,351,98,351,3,3,3
103,351,102,362,3,3,3
103,371,101,375,5,5,5
103,371,107,368,5,5,5
103,371,102,365,5,5,5
103,386,96,387,5,5,5
103,386,104,393,5,5,5
103,386,106,393,5,5,5
104,350,103,351,3,3,3
104,350,98,351,3,3,3
104,350,102,362,3,3,3
104,393,106,393,8,8,8
104,393,103,386,8,8,8
104,393,96,387,8,8,8
104,453,108,457,11,11,11
104,453,111,455,11,11,11
104,453,107,441,11,11,11
106,300,108,306,5,5,5
106,300,107,309,5,5,5
106,300,103,291,5,5,5
106,326,109,329,3,3,3
106,326,107,331,3,3,3
106,326,99,326,3,3,3
106,393,104,393,7,7,7
106,393,103,386,7,7,7
106,393,114,388,7,7,7
106,415,108,413,14,14,14
106,415,106,419,14,14,14
106,415,108,420,14,14,14
106,419,108,420,11,11,11
106,419,106,415,11,11,11
106,419,108,413,11,11,11
107,309,108,306,7,7,7
107,309,103,311,7,7,7
107,309,106,300,7,7,7
107,331,109,329,3,3,3
107,331,106,326,3,3,3
107,331,112,333,3,3,3
107,368,103,371,5,5,5
107,368,102,365,5,5,5
107,368,102,362,5,5,5
107,435,107,441,7,7,7
107,435,114,438,7,7,7
107,435,100,441,7,7,7
107,441,107,435,7,7,7
107,441,100,441,7,7,7
107,441,114,438,7,7,7
108,306,107,309,5,5,5
108,306,106,300,5,5,5
108,306,103,311,5,5,5
108,413,106,415,10,10,10
108,413,113,414,10,10,10
108,413,106,419,10,10,10
108,420,106,419,8,8,8
108,420,106,415,8,8,8
108,420,108,413,8,8,8
108,457,111,455,8,8,8
108,457,104,453,8,8,8
108,457,111,465,8,8,8
109,329,107,331,3,3,3
109,329,106,326,3,3,3
109,329,112,333,3,3,3
111,339,112,333,3,3,3
111,339,107,331,3,3,3
111,339,116,331,3,3,3
111,376,114,378,6,6,6
111,376,107,368,6,6,6
111,376,103,371,6,6,6
111,455,108,457,29,29,29
111,455,104,453,29,29,29
111,455,111,465,29,29,29
111,465,108,457,22,22,22
111,465,111,455,22,22,22
111,465,124,467,22,22,22
111,488,128,494,120,120,120
111,488,130,486,120,120,120
111,488,97,472,120,120,120
112,333,116,331,3,3,3
112,333,109,329,3,3,3
112,333,107,331,3,3,3
113,414,108,413,6,6,6
113,414,118,412,6,6,6
113,414,106,415,6,6,6
114,378,111,376,6,6,6
114,378,119,381,6,6,6
114,378,123,378,6,6,6
114,388,119,381,6,6,6
114,388,106,393,6,6,6
114,388,114,378,6,6,6
114,438,107,435,6,6,6
114,438,107,441,6,6,6
114,438,122,433,6,6,6
116,319,120,318,6,6,6
116,319,119,328,6,6,6
116,319,116,331,6,6,6
116,331,119,328,4,4,4
