#i,j,r,g,b
1,220,120,120,120
15,234,120,120,120

1,220,120,120,120
35,234,120,120,120

1,220,120,120,120
31,244,120,120,120

2,308,163,163,163
35,301,163,163,163

2,308,163,163,163
44,316,163,163,163

2,308,163,163,163
49,313,163,163,163

15,234,126,126,126
31,244,126,126,126

15,234,126,126,126
1,220,126,126,126

15,234,126,126,126
35,234,126,126,126

31,244,131,131,131
35,234,131,131,131

31,244,131,131,131
46,235,131,131,131

31,244,131,131,131
15,234,131,131,131

35,301,155,155,155
44,316,155,155,155

35,301,155,155,155
49,313,155,155,155

35,301,155,155,155
58,314,155,155,155

35,234,126,126,126
31,244,126,126,126

35,234,126,126,126
46,235,126,126,126

35,234,126,126,126
15,234,126,126,126

42,382,174,174,174
56,387,174,174,174

42,382,174,174,174
64,386,174,174,174

42,382,174,174,174
66,395,174,174,174

44,316,159,159,159
49,313,159,159,159

44,316,159,159,159
58,314,159,159,159

44,316,159,159,159
35,301,159,159,159

46,235,121,121,121
35,234,121,121,121

46,235,121,121,121
31,244,121,121,121

46,235,121,121,121
65,223,121,121,121

49,313,157,157,157
44,316,157,157,157

49,313,157,157,157
58,314,157,157,157

49,313,157,157,157
35,301,157,157,157

54,411,8,8,8
55,408,8,8,8

54,411,8,8,8
57,417,8,8,8

54,411,8,8,8
59,406,8,8,8

55,408,4,4,4
54,411,4,4,4

55,408,4,4,4
59,406,4,4,4

55,408,4,4,4
57,417,4,4,4

56,387,14,14,14
64,386,14,14,14

56,387,14,14,14
66,395,14,14,14

56,387,14,14,14
65,397,14,14,14

57,417,3,3,3
61,421,3,3,3

57,417,3,3,3
54,411,3,3,3

57,417,3,3,3
55,408,3,3,3

58,430,3,3,3
61,421,3,3,3

58,430,3,3,3
57,417,3,3,3

58,430,3,3,3
67,420,3,3,3

58,314,154,154,154
49,313,154,154,154

58,314,154,154,154
44,316,154,154,154

58,314,154,154,154
35,301,154,154,154

59,406,3,3,3
55,408,3,3,3

59,406,3,3,3
54,411,3,3,3

59,406,3,3,3
65,411,3,3,3

61,421,3,3,3
57,417,3,3,3

61,421,3,3,3
67,420,3,3,3

61,421,3,3,3
58,430,3,3,3

64,386,4,4,4
56,387,4,4,4

64,386,4,4,4
66,395,4,4,4

64,386,4,4,4
69,378,4,4,4

65,411,3,3,3
70,407,3,3,3

65,411,3,3,3
71,407,3,3,3

65,411,3,3,3
59,406,3,3,3

65,397,3,3,3
66,395,3,3,3

65,397,3,3,3
67,395,3,3,3

65,397,3,3,3
71,397,3,3,3

65,345,162,162,162
94,340,162,162,162

65,345,162,162,162
94,336,162,162,162

65,345,162,162,162
58,314,162,162,162

65,223,115,115,115
76,215,115,115,115

65,223,115,115,115
46,235,115,115,115

65,223,115,115,115
90,214,115,115,115

66,395,3,3,3
67,395,3,3,3

66,395,3,3,3
65,397,3,3,3

66,395,3,3,3
71,397,3,3,3

67,420,3,3,3
61,421,3,3,3

67,420,3,3,3
65,411,3,3,3

67,420,3,3,3
77,422,3,3,3

67,395,3,3,3
66,395,3,3,3

67,395,3,3,3
65,397,3,3,3

67,395,3,3,3
71,397,3,3,3

69,378,24,24,24
73,377,24,24,24

69,378,24,24,24
77,381,24,24,24

69,378,24,24,24
64,386,24,24,24

70,454,9,9,9
84,439,9,9,9

70,454,9,9,9
85,438,9,9,9

70,454,9,9,9
77,430,9,9,9

70,407,3,3,3
71,407,3,3,3

70,407,3,3,3
65,411,3,3,3

70,407,3,3,3
77,407,3,3,3

71,407,3,3,3
70,407,3,3,3

71,407,3,3,3
77,407,3,3,3

71,407,3,3,3
65,411,3,3,3

71,397,3,3,3
67,395,3,3,3

71,397,3,3,3
66,395,3,3,3

71,397,3,3,3
65,397,3,3,3

71,255,127,127,127
85,262,127,127,127

71,255,127,127,127
46,235,127,127,127

71,255,127,127,127
65,223,127,127,127

73,377,12,12,12
69,378,12,12,12

73,377,12,12,12
77,381,12,12,12

73,377,12,12,12
83,375,12,12,12

76,215,108,108,108
65,223,108,108,108

76,215,108,108,108
90,214,108,108,108

76,215,108,108,108
46,235,108,108,108

77,430,3,3,3
80,428,3,3,3

77,430,3,3,3
77,422,3,3,3

77,430,3,3,3
86,424,3,3,3

77,422,3,3,3
80,418,3,3,3

77,422,3,3,3
80,428,3,3,3

77,422,3,3,3
77,430,3,3,3

77,414,3,3,3
80,418,3,3,3

77,414,3,3,3
77,407,3,3,3

77,414,3,3,3
77,422,3,3,3

77,407,3,3,3
71,407,3,3,3

77,407,3,3,3
70,407,3,3,3

77,407,3,3,3
77,414,3,3,3

77,399,3,3,3
71,397,3,3,3

77,399,3,3,3
77,407,3,3,3

77,399,3,3,3
71,407,3,3,3

77,381,7,7,7
73,377,7,7,7

77,381,7,7,7
83,375,7,7,7

77,381,7,7,7
69,378,7,7,7

80,428,3,3,3
77,430,3,3,3

80,428,3,3,3
77,422,3,3,3

80,428,3,3,3
86,424,3,3,3

80,418,3,3,3
77,422,3,3,3

80,418,3,3,3
77,414,3,3,3

80,418,3,3,3
86,424,3,3,3

83,375,6,6,6
85,377,6,6,6

83,375,6,6,6
91,377,6,6,6

83,375,6,6,6
77,381,6,6,6

84,439,5,5,5
85,438,5,5,5

84,439,5,5,5
93,440,5,5,5

84,439,5,5,5
90,431,5,5,5

85,438,5,5,5
84,439,5,5,5

85,438,5,5,5
93,440,5,5,5

85,438,5,5,5
90,431,5,5,5

85,377,5,5,5
83,375,5,5,5

85,377,5,5,5
91,377,5,5,5

85,377,5,5,5
89,384,5,5,5

85,262,127,127,127
71,255,127,127,127

85,262,127,127,127
97,276,127,127,127

85,262,127,127,127
95,284,127,127,127

86,424,3,3,3
80,428,3,3,3

86,424,3,3,3
91,418,3,3,3

86,424,3,3,3
90,431,3,3,3

86,394,4,4,4
86,392,4,4,4

86,394,4,4,4
88,387,4,4,4

86,394,4,4,4
91,400,4,4,4

86,392,4,4,4
86,394,4,4,4

86,392,4,4,4
88,387,4,4,4

86,392,4,4,4
91,387,4,4,4

88,387,4,4,4
91,387,4,4,4

88,387,4,4,4
89,384,4,4,4

88,387,4,4,4
86,392,4,4,4

89,403,3,3,3
91,400,3,3,3

89,403,3,3,3
86,394,3,3,3

89,403,3,3,3
98,397,3,3,3

89,384,4,4,4
88,387,4,4,4

89,384,4,4,4
91,387,4,4,4

89,384,4,4,4
91,377,4,4,4

90,431,3,3,3
86,424,3,3,3

90,431,3,3,3
85,438,3,3,3

90,431,3,3,3
93,440,3,3,3

90,214,106,106,106
76,215,106,106,106

90,214,106,106,106
65,223,106,106,106

90,214,106,106,106
125,213,106,106,106

91,418,3,3,3
86,424,3,3,3

91,418,3,3,3
99,422,3,3,3

91,418,3,3,3
101,415,3,3,3

91,400,3,3,3
89,403,3,3,3

91,400,3,3,3
98,397,3,3,3

91,400,3,3,3
86,394,3,3,3

91,387,4,4,4
88,387,4,4,4

91,387,4,4,4
89,384,4,4,4

91,387,4,4,4
86,392,4,4,4

91,377,5,5,5
95,377,5,5,5

91,377,5,5,5
85,377,5,5,5

91,377,5,5,5
89,384,5,5,5

93,440,6,6,6
85,438,6,6,6

93,440,6,6,6
84,439,6,6,6

93,440,6,6,6
90,431,6,6,6

93,367,5,5,5
94,361,5,5,5

93,367,5,5,5
96,361,5,5,5

93,367,5,5,5
101,373,5,5,5

94,361,13,13,13
96,361,13,13,13

94,361,13,13,13
93,367,13,13,13

94,361,13,13,13
103,362,13,13,13

94,340,5,5,5
94,336,5,5,5

94,340,5,5,5
101,343,5,5,5

94,340,5,5,5
95,332,5,5,5

94,336,9,9,9
94,340,9,9,9

94,336,9,9,9
95,332,9,9,9

94,336,9,9,9
101,343,9,9,9

95,377,5,5,5
91,377,5,5,5

95,377,5,5,5
101,373,5,5,5

95,377,5,5,5
103,377,5,5,5

95,332,5,5,5
94,336,5,5,5

95,332,5,5,5
94,340,5,5,5

95,332,5,5,5
106,333,5,5,5

95,284,130,130,130
97,276,130,130,130

95,284,130,130,130
104,295,130,130,130

95,284,130,130,130
108,291,130,130,130

96,361,9,9,9
94,361,9,9,9

96,361,9,9,9
93,367,9,9,9

96,361,9,9,9
103,362,9,9,9

97,276,126,126,126
95,284,126,126,126

97,276,126,126,126
111,283,126,126,126

97,276,126,126,126
85,262,126,126,126

98,397,3,3,3
103,397,3,3,3

98,397,3,3,3
104,398,3,3,3

98,397,3,3,3
91,400,3,3,3

99,422,3,3,3
106,422,3,3,3

99,422,3,3,3
101,415,3,3,3

99,422,3,3,3
91,418,3,3,3

100,307,23,23,23
107,307,23,23,23

100,307,23,23,23
107,313,23,23,23

100,307,23,23,23
104,295,23,23,23

101,415,3,3,3
107,417,3,3,3

101,415,3,3,3
99,422,3,3,3

101,415,3,3,3
106,422,3,3,3

101,373,6,6,6
103,377,6,6,6

101,373,6,6,6
95,377,6,6,6

101,373,6,6,6
107,380,6,6,6

101,343,13,13,13
94,340,13,13,13

101,343,13,13,13
94,336,13,13,13

101,343,13,13,13
108,335,13,13,13

102,386,4,4,4
102,383,4,4,4

102,386,4,4,4
107,380,4,4,4

102,386,4,4,4
103,377,4,4,4

102,383,4,4,4
102,386,4,4,4

102,383,4,4,4
107,380,4,4,4

102,383,4,4,4
103,377,4,4,4

103,457,7,7,7
106,448,7,7,7

103,457,7,7,7
108,442,7,7,7

103,457,7,7,7
119,453,7,7,7

103,437,4,4,4
107,439,4,4,4

103,437,4,4,4
108,442,4,4,4

103,437,4,4,4
93,440,4,4,4

103,397,3,3,3
104,398,3,3,3

103,397,3,3,3
98,397,3,3,3

103,397,3,3,3
102,386,3,3,3

103,377,5,5,5
101,373,5,5,5

103,377,5,5,5
107,380,5,5,5

103,377,5,5,5
102,383,5,5,5

103,362,5,5,5
96,361,5,5,5

103,362,5,5,5
104,355,5,5,5

103,362,5,5,5
106,355,5,5,5

104,398,3,3,3
103,397,3,3,3

104,398,3,3,3
98,397,3,3,3

104,398,3,3,3
102,386,3,3,3

104,355,8,8,8
106,355,8,8,8

104,355,8,8,8
103,362,8,8,8

104,355,8,8,8
96,361,8,8,8

104,295,11,11,11
108,291,11,11,11

104,295,11,11,11
111,293,11,11,11

104,295,11,11,11
107,307,11,11,11

106,448,5,5,5
108,442,5,5,5

106,448,5,5,5
107,439,5,5,5

106,448,5,5,5
103,457,5,5,5

106,422,3,3,3
109,419,3,3,3

106,422,3,3,3
107,417,3,3,3

106,422,3,3,3
99,422,3,3,3

106,355,7,7,7
104,355,7,7,7

106,355,7,7,7
103,362,7,7,7

106,355,7,7,7
114,360,7,7,7

106,333,14,14,14
108,335,14,14,14

106,333,14,14,14
106,329,14,14,14

106,333,14,14,14
108,328,14,14,14

106,329,11,11,11
108,328,11,11,11

106,329,11,11,11
106,333,11,11,11

106,329,11,11,11
108,335,11,11,11

107,439,7,7,7
108,442,7,7,7

107,439,7,7,7
103,437,7,7,7

107,439,7,7,7
106,448,7,7,7

107,417,3,3,3
109,419,3,3,3

107,417,3,3,3
106,422,3,3,3

107,417,3,3,3
112,415,3,3,3

107,380,5,5,5
103,377,5,5,5

107,380,5,5,5
102,383,5,5,5

107,380,5,5,5
102,386,5,5,5

107,313,7,7,7
107,307,7,7,7

107,313,7,7,7
114,310,7,7,7

107,313,7,7,7
100,307,7,7,7

107,307,7,7,7
107,313,7,7,7

107,307,7,7,7
100,307,7,7,7

107,307,7,7,7
114,310,7,7,7

108,442,5,5,5
107,439,5,5,5

108,442,5,5,5
106,448,5,5,5

108,442,5,5,5
103,437,5,5,5

108,335,10,10,10
106,333,10,10,10

108,335,10,10,10
113,334,10,10,10

108,335,10,10,10
106,329,10,10,10

108,328,8,8,8
106,329,8,8,8

108,328,8,8,8
106,333,8,8,8

108,328,8,8,8
108,335,8,8,8

108,291,8,8,8
111,293,8,8,8

108,291,8,8,8
104,295,8,8,8

108,291,8,8,8
111,283,8,8,8

109,419,3,3,3
107,417,3,3,3

109,419,3,3,3
106,422,3,3,3

109,419,3,3,3
112,415,3,3,3

111,409,3,3,3
112,415,3,3,3

111,409,3,3,3
107,417,3,3,3

111,409,3,3,3
116,417,3,3,3

111,372,6,6,6
114,370,6,6,6

111,372,6,6,6
107,380,6,6,6

111,372,6,6,6
103,377,6,6,6

111,293,29,29,29
108,291,29,29,29

111,293,29,29,29
104,295,29,29,29

111,293,29,29,29
111,283,29,29,29

111,283,22,22,22
108,291,22,22,22

111,283,22,22,22
111,293,22,22,22

111,283,22,22,22
124,281,22,22,22

111,260,120,120,120
128,254,120,120,120

111,260,120,120,120
130,262,120,120,120

111,260,120,120,120
97,276,120,120,120

112,415,3,3,3
116,417,3,3,3

112,415,3,3,3
109,419,3,3,3

112,415,3,3,3
107,417,3,3,3

113,334,6,6,6
108,335,6,6,6

113,334,6,6,6
118,336,6,6,6

113,334,6,6,6
106,333,6,6,6

114,370,6,6,6
111,372,6,6,6

114,370,6,6,6
119,367,6,6,6

114,370,6,6,6
123,370,6,6,6

114,360,6,6,6
119,367,6,6,6

114,360,6,6,6
106,355,6,6,6

114,360,6,6,6
114,370,6,6,6

114,310,6,6,6
107,313,6,6,6

114,310,6,6,6
107,307,6,6,6

114,310,6,6,6
122,315,6,6,6

116,429,6,6,6
120,430,6,6,6

116,429,6,6,6
119,420,6,6,6

116,429,6,6,6
116,417,6,6,6

116,417,4,4,4
119,420,4,4,4

116,417,4,4,4
112,415,4,4,4

116,417,4,4,4
109,419,4,4,4

116,386,4,4,4
120,391,4,4,4

116,386,4,4,4
120,380,4,4,4

116,386,4,4,4
125,388,4,4,4

117,345,6,6,6
117,342,6,6,6

117,345,6,6,6
118,336,6,6,6

117,345,6,6,6
113,334,6,6,6

117,342,6,6,6
117,345,6,6,6

117,342,6,6,6
118,336,6,6,6

117,342,6,6,6
113,334,6,6,6

118,336,8,8,8
113,334,8,8,8

118,336,8,8,8
117,342,8,8,8

118,336,8,8,8
117,345,8,8,8

119,453,5,5,5
124,458,5,5,5

119,453,5,5,5
128,454,5,5,5

119,453,5,5,5
123,444,5,5,5

119,420,4,4,4
116,417,4,4,4

119,420,4,4,4
112,415,4,4,4

119,420,4,4,4
116,429,4,4,4

119,367,7,7,7
123,370,7,7,7

119,367,7,7,7
114,370,7,7,7

119,367,7,7,7
114,360,7,7,7

119,301,5,5,5
125,302,5,5,5

119,301,5,5,5
122,295,5,5,5

119,301,5,5,5
127,304,5,5,5

120,430,7,7,7
116,429,7,7,7

120,430,7,7,7
119,420,7,7,7

120,430,7,7,7
132,430,7,7,7

120,391,3,3,3
125,392,3,3,3

120,391,3,3,3
125,388,3,3,3

120,391,3,3,3
116,386,3,3,3

120,380,6,6,6
121,377,6,6,6

120,380,6,6,6
116,386,6,6,6

120,380,6,6,6
125,388,6,6,6

121,377,12,12,12
120,380,12,12,12

121,377,12,12,12
123,370,12,12,12

121,377,12,12,12
114,370,12,12,12

122,315,18,18,18
114,310,18,18,18

122,315,18,18,18
127,304,18,18,18

122,315,18,18,18
125,302,18,18,18

122,295,6,6,6
124,294,6,6,6

122,295,6,6,6
119,301,6,6,6

122,295,6,6,6
125,302,6,6,6

123,444,6,6,6
125,444,6,6,6

123,444,6,6,6
128,446,6,6,6

123,444,6,6,6
131,446,6,6,6

123,370,54,54,54
119,367,54,54,54

123,370,54,54,54
121,377,54,54,54

123,370,54,54,54
130,368,54,54,54

124,458,5,5,5
128,454,5,5,5

124,458,5,5,5
119,453,5,5,5

124,458,5,5,5
129,452,5,5,5

124,294,13,13,13
122,295,13,13,13

124,294,13,13,13
125,302,13,13,13

124,294,13,13,13
119,301,13,13,13

124,281,23,23,23
124,294,23,23,23

124,281,23,23,23
111,283,23,23,23

124,281,23,23,23
122,295,23,23,23

125,444,6,6,6
123,444,6,6,6

125,444,6,6,6
128,446,6,6,6

125,444,6,6,6
131,446,6,6,6

125,392,8,8,8
125,388,8,8,8

125,392,8,8,8
120,391,8,8,8

125,392,8,8,8
116,386,8,8,8

125,388,16,16,16
125,392,16,16,16

125,388,16,16,16
120,391,16,16,16

125,388,16,16,16
116,386,16,16,16

125,302,35,35,35
127,304,35,35,35

125,302,35,35,35
119,301,35,35,35

125,302,35,35,35
122,295,35,35,35

