i1,j1,i2,j2,r,g,b
77,443,78,442,107,107,107
77,443,80,445,107,107,107
77,443,79,448,107,107,107
78,442,77,443,115,115,115
78,442,80,445,115,115,115
78,442,79,448,115,115,115
79,448,80,445,118,118,118
79,448,77,443,118,118,118
79,448,78,442,118,118,118
80,445,79,448,139,139,139
80,445,77,443,139,139,139
80,445,78,442,139,139,139
83,422,85,419,238,238,238
83,422,87,417,238,238,238
83,422,86,414,238,238,238
83,435,84,434,158,158,158
83,435,85,437,158,158,158
83,435,85,439,158,158,158
84,434,83,435,181,181,181
84,434,85,437,181,181,181
84,434,85,439,181,181,181
85,419,87,417,248,248,248
85,419,83,422,248,248,248
85,419,86,414,248,248,248
85,437,85,439,146,146,146
85,437,83,435,146,146,146
85,437,84,434,146,146,146
85,439,85,437,192,192,192
85,439,83,435,192,192,192
85,439,84,434,192,192,192
86,414,87,417,216,216,216
86,414,89,413,216,216,216
86,414,85,419,216,216,216
87,417,85,419,242,242,242
87,417,86,414,242,242,242
87,417,89,413,242,242,242
89,413,86,414,218,218,218
89,413,92,411,218,218,218
89,413,93,414,218,218,218
92,411,93,414,218,218,218
92,411,89,413,218,218,218
92,411,94,408,218,218,218
93,414,92,411,247,247,247
93,414,96,416,247,247,247
93,414,89,413,247,247,247
93,442,96,443,75,75,75
93,442,99,442,75,75,75
93,442,101,441,75,75,75
94,408,92,411,231,231,231
94,408,93,414,231,231,231
94,408,89,413,231,231,231
95,419,97,421,222,222,222
95,419,96,416,222,222,222
95,419,93,414,222,222,222
96,416,98,414,236,236,236
96,416,95,419,236,236,236
96,416,93,414,236,236,236
96,443,93,442,67,67,67
96,443,99,442,67,67,67
96,443,101,441,67,67,67
97,421,95,419,243,243,243
97,421,96,416,243,243,243
97,421,101,417,243,243,243
98,398,99,400,221,221,221
98,398,100,396,221,221,221
98,398,102,395,221,221,221
98,414,96,416,233,233,233
98,414,101,417,233,233,233
98,414,93,414,233,233,233
99,400,98,398,254,254,254
99,400,100,396,254,254,254
99,400,102,395,254,254,254
99,442,101,441,172,172,172
99,442,96,443,172,172,172
99,442,93,442,172,172,172
100,396,102,395,134,134,134
100,396,98,398,134,134,134
100,396,99,400,134,134,134
101,417,98,414,214,214,214
101,417,96,416,214,214,214
101,417,103,422,214,214,214
101,441,99,442,151,151,151
101,441,105,444,151,151,151
101,441,96,443,151,151,151
102,395,100,396,198,198,198
102,395,98,398,198,198,198
102,395,99,400,198,198,198
103,422,101,417,241,241,241
103,422,97,421,241,241,241
103,422,108,418,241,241,241
104,432,105,431,220,220,220
104,432,106,430,220,220,220
104,432,111,433,220,220,220
105,431,104,432,201,201,201
105,431,106,430,201,201,201
105,431,111,433,201,201,201
105,444,101,441,169,169,169
105,444,110,447,169,169,169
105,444,111,443,169,169,169
106,386,108,388,252,252,252
106,386,111,389,252,252,252
106,386,112,388,252,252,252
106,403,109,404,216,216,216
