#i,j,r,g,b
77,243,107,107,107
78,244,107,107,107

77,243,107,107,107
80,241,107,107,107

77,243,107,107,107
79,238,107,107,107

78,244,115,115,115
77,243,115,115,115

78,244,115,115,115
80,241,115,115,115

78,244,115,115,115
79,238,115,115,115

79,238,118,118,118
80,241,118,118,118

79,238,118,118,118
77,243,118,118,118

79,238,118,118,118
78,244,118,118,118

80,241,139,139,139
79,238,139,139,139

80,241,139,139,139
77,243,139,139,139

80,241,139,139,139
78,244,139,139,139

83,264,238,238,238
85,267,238,238,238

83,264,238,238,238
87,269,238,238,238

83,264,238,238,238
86,272,238,238,238

83,251,158,158,158
84,252,158,158,158

83,251,158,158,158
85,249,158,158,158

83,251,158,158,158
85,247,158,158,158

84,252,181,181,181
83,251,181,181,181

84,252,181,181,181
85,249,181,181,181

84,252,181,181,181
85,247,181,181,181

85,267,248,248,248
87,269,248,248,248

85,267,248,248,248
83,264,248,248,248

85,267,248,248,248
86,272,248,248,248

85,249,146,146,146
85,247,146,146,146

85,249,146,146,146
83,251,146,146,146

85,249,146,146,146
84,252,146,146,146

85,247,192,192,192
85,249,192,192,192

85,247,192,192,192
83,251,192,192,192

85,247,192,192,192
84,252,192,192,192

86,272,216,216,216
87,269,216,216,216

86,272,216,216,216
89,273,216,216,216

86,272,216,216,216
85,267,216,216,216

87,269,242,242,242
85,267,242,242,242

87,269,242,242,242
86,272,242,242,242

87,269,242,242,242
89,273,242,242,242

89,273,218,218,218
86,272,218,218,218

89,273,218,218,218
92,275,218,218,218

89,273,218,218,218
93,272,218,218,218

92,275,218,218,218
93,272,218,218,218

92,275,218,218,218
89,273,218,218,218

92,275,218,218,218
94,278,218,218,218

93,272,247,247,247
92,275,247,247,247

93,272,247,247,247
96,270,247,247,247

93,272,247,247,247
89,273,247,247,247

93,244,75,75,75
96,243,75,75,75

93,244,75,75,75
99,244,75,75,75

93,244,75,75,75
101,245,75,75,75

94,278,231,231,231
92,275,231,231,231

94,278,231,231,231
93,272,231,231,231

94,278,231,231,231
89,273,231,231,231

95,267,222,222,222
97,265,222,222,222

95,267,222,222,222
96,270,222,222,222

95,267,222,222,222
93,272,222,222,222

96,270,236,236,236
98,272,236,236,236

96,270,236,236,236
95,267,236,236,236

96,270,236,236,236
93,272,236,236,236

96,243,67,67,67
93,244,67,67,67

96,243,67,67,67
99,244,67,67,67

96,243,67,67,67
101,245,67,67,67

97,265,243,243,243
95,267,243,243,243

97,265,243,243,243
96,270,243,243,243

97,265,243,243,243
101,269,243,243,243

98,288,221,221,221
99,286,221,221,221

98,288,221,221,221
100,290,221,221,221

98,288,221,221,221
102,291,221,221,221

98,272,233,233,233
96,270,233,233,233

98,272,233,233,233
101,269,233,233,233

98,272,233,233,233
93,272,233,233,233

99,286,254,254,254
98,288,254,254,254

99,286,254,254,254
100,290,254,254,254

99,286,254,254,254
102,291,254,254,254

99,244,172,172,172
101,245,172,172,172

99,244,172,172,172
96,243,172,172,172

99,244,172,172,172
93,244,172,172,172

100,290,134,134,134
102,291,134,134,134

100,290,134,134,134
98,288,134,134,134

100,290,134,134,134
99,286,134,134,134

101,269,214,214,214
98,272,214,214,214

101,269,214,214,214
96,270,214,214,214

101,269,214,214,214
103,264,214,214,214

101,245,151,151,151
99,244,151,151,151

101,245,151,151,151
105,242,151,151,151

101,245,151,151,151
96,243,151,151,151

102,291,198,198,198
100,290,198,198,198

102,291,198,198,198
98,288,198,198,198

102,291,198,198,198
99,286,198,198,198

103,264,241,241,241
101,269,241,241,241

103,264,241,241,241
97,265,241,241,241

103,264,241,241,241
108,268,241,241,241

104,254,220,220,220
105,255,220,220,220

104,254,220,220,220
106,256,220,220,220

104,254,220,220,220
111,253,220,220,220

105,255,201,201,201
104,254,201,201,201

105,255,201,201,201
106,256,201,201,201

105,255,201,201,201
111,253,201,201,201

105,242,169,169,169
101,245,169,169,169

105,242,169,169,169
110,239,169,169,169

